date,stock_code,report_type,revenue,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,gross_profit,operating_profit,eps,bps,roe,roa
2020-03-31,600497.SH,季报,1644694420.163976,143550000.0,3426338704.235145,1990838704.235145,1435500000.0,1537626147.4173357,757549599.7097793,351488495.4306101,166223237.73998633,0.14355,1.4355,10.0,4.18960331687478
2020-06-30,600497.SH,季报,1575529466.642148,142550000.0,3038082071.2716146,1612582071.2716146,1425500000.0,1290139562.0341911,723819713.9696568,424996793.9592408,175805839.56499475,0.14255,1.4255,10.0,4.692104974647196
2020-09-30,600497.SH,季报,1336529931.3415532,156550000.0,3467619882.8236527,1902119882.8236527,1565500000.0,1296243711.7445745,910488871.3389969,441579261.09627616,181964325.61516333,0.15655,1.5655,10.0,4.514624015609309
2020-12-31,600497.SH,季报,1987723130.1191044,210550000.00000003,5139140637.920166,3033640637.920166,2105500000.0000002,2032156204.3093674,1190322507.8215482,726521730.5658325,238088992.84388995,0.21055000000000004,2.1055,10.0,4.0969884818176645
2021-03-31,600497.SH,季报,1925625276.2507167,211550000.0,4033145757.323138,1917645757.3231382,2115500000.0,1384892319.7233417,835361958.9784305,603847447.3153348,251940345.7862916,0.21155,2.1155,10.0,5.245285261904569
2021-06-30,600497.SH,季报,1878523594.7953386,188550000.0,3908615780.451406,2023115780.451406,1885500000.0,1368786958.5164628,686523309.6125082,729469697.7695326,228622957.11637554,0.18855,1.8855,10.0,4.823958418809442
2021-09-30,600497.SH,季报,2460707370.169366,213550000.0,3235299178.858271,1099799178.8582711,2135500000.0,1124537053.7512064,547966466.7310024,557028894.9659166,254798709.10980642,0.21355,2.1355,10.0,6.600626037786133
2021-12-31,600497.SH,季报,2604237302.344751,222550000.0,4900045336.9187155,2674545336.9187155,2225500000.0,1993298753.77187,1010792082.8118078,662767841.3695754,267209740.34482554,0.22255,2.2255,10.0,4.5417947120453706
2022-03-31,600497.SH,季报,2052855083.3547378,230550000.0,4473849656.37143,2168349656.3714304,2305500000.0,1532553862.3385794,943715368.575207,765583173.6379981,269139210.99768096,0.23055,2.3055,10.0,5.153280009569887
2022-06-30,600497.SH,季报,2381701247.237585,232550000.0,4027168955.97816,1701668955.97816,2325500000.0,1840768604.1996367,829253448.6913795,788428670.9024714,270262421.5714154,0.23255,2.3255,10.0,5.774528025569662
2022-09-30,600497.SH,季报,2068841304.9173663,239550000.0,4210893996.1969633,1815393996.1969633,2395500000.0,1677615207.7627106,752291418.3027682,514894114.1989179,310326729.1871942,0.23955,2.3955,10.0,5.6888157293046975
2022-12-31,600497.SH,季报,2000736240.1166964,232050000.0,5229732365.101181,2909232365.101181,2320500000.0,2318414230.24957,975618411.2367821,544452340.5952891,282380734.5596532,0.23205,2.3205,10.0,4.437129546982285
2023-03-31,600497.SH,季报,2758692994.986229,238050000.0,5010901393.718967,2630401393.7189674,2380500000.0,1730575811.6093364,944023974.2081722,878033559.2788569,287097061.88440657,0.23805,2.3805,10.0,4.750642275627084
2023-06-30,600497.SH,季报,2743132036.5798316,236050000.0,5471998632.4610195,3111498632.4610195,2360500000.0,2547513182.3179765,1147532366.7727728,647233623.5807103,263561214.99150726,0.23605,2.3605,10.0,4.313780317847723
2023-09-30,600497.SH,季报,2333916411.154265,249550000.0,5610113600.055306,3114613600.0553064,2495500000.0,2441176683.737292,1148263722.5229704,708636516.7290579,280637868.2095757,0.24955,2.4955,10.0,4.4482165209192885
2023-12-31,600497.SH,季报,2280140903.5045037,237550000.0,5318114423.289474,2942614423.2894735,2375500000.0,2620227379.137203,1240831573.8203676,856283931.7155882,284065549.70664006,0.23755,2.3755,10.0,4.46680874258184
2024-03-31,600497.SH,季报,2977856418.89477,268550000.0,6597496916.1154585,3911996916.1154585,2685500000.0,2002884271.508845,1716889761.8896327,765364790.7129898,321408124.41766536,0.26855,2.6855,10.0,4.070483145570299
2024-06-30,600497.SH,季报,2391461629.5503154,259050000.0,5605160932.781193,3014660932.781193,2590500000.0,2314892405.571483,1388853598.8499482,748456313.127165,312865808.5579155,0.25905,2.5905,10.0,4.621633582097052
2024-09-30,600497.SH,季报,3181306999.338378,278550000.0,6051061171.244116,3265561171.244116,2785500000.0,2212185479.188043,1394431565.8198206,1066185097.4902719,332244426.17406327,0.27855,2.7855,10.0,4.603324807287137
2024-12-31,600497.SH,季报,3207351454.043485,270550000.0,4255247068.9356413,1549747068.9356413,2705500000.0,1808482126.590654,509444900.4979948,891018608.1504701,341291152.29661775,0.27055,2.7055,10.0,6.358032697445045
2025-03-31,600497.SH,季报,2616668574.4987397,265050000.0,4759671367.559668,2109171367.5596676,2650500000.0,1676046629.1872315,893296559.2516619,600018367.6350669,320464678.93281925,0.26505,2.6505,10.0,5.568661773720185
2025-06-30,600497.SH,季报,2207831883.678693,263000000.0,4845021095.442169,2215021095.442169,2630000000.0,1563472656.572439,836817533.1331084,647083407.0182906,316604666.89687496,0.263,2.63,10.0,5.4282529388243645
2025-09-30,600497.SH,季报,3374421388.237615,320000000.0,6768917277.8816395,3568917277.8816395,3200000000.0,2165074829.2781377,1741387266.477904,1193687638.4876251,405326520.3706882,0.32,3.2,10.0,4.727491663188789
2025-12-31,600497.SH,季报,3528010843.350257,365500000.0,8926891306.843634,5271891306.843634,3655000000.0,3993584573.420253,1841207427.5933752,896202084.882607,422008811.9100868,0.3655,3.655,10.0,4.094370452565007
