date,stock_code,report_type,revenue,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,gross_profit,operating_profit,eps,bps,roe,roa
2020-03-31,000713.SZ,季报,4130246737.4817967,357050000.0,7399224478.407574,3828724478.4075737,3570500000.0,3217486106.252371,1837836562.8722706,956258107.6303142,458309346.8357915,0.35705,3.5705,10.0,4.825505714037245
2020-06-30,000713.SZ,季报,4087014561.3810506,345650000.0,6396241165.748132,2939741165.7481318,3456500000.0,2505242819.6761765,961923812.6427999,1167370101.1646209,436793077.5593618,0.34565,3.4565,10.0,5.403955089294562
2020-09-30,000713.SZ,季报,3744395281.214418,354950000.0,5998579693.35883,2449079693.3588305,3549500000.0,2816300502.3211613,762276380.7400004,1106781570.1913657,460038106.55987734,0.35495,3.5495,10.0,5.917234047802575
2020-12-31,000713.SZ,季报,6104171500.161186,616700000.0,11637145228.197073,5470145228.197073,6167000000.0,5398759723.429254,2174887901.082213,1418463525.897757,772268225.6324921,0.6167,6.167,10.0,5.29940967399566
2021-03-31,000713.SZ,季报,5542912178.959694,471000000.0,10947808142.812218,6237808142.812218,4710000000.0,4624240180.366264,2836440640.7896023,2029323042.6048915,520464487.849138,0.471,4.71,10.0,4.302231038906496
2021-06-30,000713.SZ,季报,4988787627.669315,434500000.0,9096683995.115862,4751683995.115862,4345000000.0,2858871669.1744018,1848750347.4471085,1666891960.3409107,536301509.3803442,0.4345,4.345,10.0,4.776465800431115
2021-09-30,000713.SZ,季报,5188620853.708502,451500000.0,8759068080.555365,4244068080.5553646,4515000000.0,4267334297.599523,1678521548.7559974,1893250068.6269827,578528537.7414894,0.4515,4.515,10.0,5.154657959587099
2021-12-31,000713.SZ,季报,4343226456.885177,481000000.0,10336294376.51303,5526294376.513029,4810000000.0,4973880510.952233,1953116320.9148662,1023543061.0540078,605946050.7324973,0.481,4.81,10.0,4.653505235812241
2022-03-31,000713.SZ,季报,4062083214.8696933,482000000.0,8767393092.242956,3947393092.242956,4820000000.0,3876173484.4069505,1958243787.2917092,1403151234.6749306,614981909.1262456,0.482,4.82,10.0,5.497643312314291
2022-06-30,000713.SZ,季报,4642094948.447395,455500000.0,7882871051.212951,3327871051.2129507,4555000000.0,2969140271.722723,1423742023.6321452,1148296630.9928057,537869811.7723277,0.4555,4.555,10.0,5.7783515300546675
2022-09-30,000713.SZ,季报,4085657977.4060216,402500000.00000006,6926229583.846034,2901229583.8460336,4025000000.0000005,2963487227.264353,1180677808.0840392,1196743407.872773,505697284.58430517,0.4025000000000001,4.025,10.0,5.811242540079038
2022-12-31,000713.SZ,季报,3710279587.555077,447500000.0,8011804079.00275,3536804079.0027504,4475000000.0,2671772645.0558887,1584249741.298623,886815590.93136,504772000.0824988,0.4475,4.475,10.0,5.585508527009581
2023-03-31,000713.SZ,季报,4765115896.820818,477000000.0,10484220009.440563,5714220009.440563,4770000000.0,4672445440.773323,2248843906.189251,1631810131.2799032,558661236.7293566,0.477,4.77,10.0,4.549694679914035
2023-06-30,000713.SZ,季报,4070679792.7138886,437000000.0,8038290294.293102,3668290294.2931023,4370000000.0,2559687997.1732965,1721416577.8651345,1163745005.7173522,560237940.2954514,0.437,4.37,10.0,5.436479450241481
2023-09-30,000713.SZ,季报,4390225307.772514,434500000.0,6695096720.683127,2350096720.6831274,4345000000.0,2359296234.571118,914128815.4590771,1134011603.014468,545221037.2499322,0.4345,4.345,10.0,6.48982409257362
2023-12-31,000713.SZ,季报,4493356030.470648,381500000.0,8171793115.29373,4356793115.29373,3815000000.0,3529926152.4936433,1849391272.723888,1488062984.2677612,457933271.1392425,0.3815,3.815,10.0,4.668498022618959
2024-03-31,000713.SZ,季报,3692911480.5515366,334000000.0,7292231682.754469,3952231682.754469,3340000000.0,2419248523.2867665,1213901413.750541,941854874.5092323,385892673.84303164,0.334,3.34,10.0,4.58021651711756
2024-06-30,000713.SZ,季报,2808359356.309583,270500000.0,6530108449.552361,3825108449.5523605,2705000000.0,2542058990.2883077,1658725851.8660474,682761305.767867,330737569.33512694,0.2705,2.705,10.0,4.142350806111693
2024-09-30,000713.SZ,季报,3453945274.127545,328500000.0,6220630843.749789,2935630843.749789,3285000000.0,2469873912.6041613,1361008755.502648,935003876.4357389,416476001.2998961,0.3285,3.285,10.0,5.280814892432687
2024-12-31,000713.SZ,季报,2827768372.982404,351500000.0,6870192743.373598,3355192743.373598,3515000000.0,3178564605.7603855,1602785382.6577933,811822265.1368064,415712958.97539824,0.3515,3.515,10.0,5.1163047840110005
2025-03-31,000713.SZ,季报,3579808830.40925,346500000.0,6849665005.798329,3384665005.7983294,3465000000.0,2870632373.1515145,1243775012.0613117,1131544046.6795673,393927467.2379435,0.3465,3.465,10.0,5.058641549720801
2025-06-30,000713.SZ,季报,3119473775.489876,351500000.0,6083152678.42493,2568152678.4249296,3515000000.0,2764976078.043081,985255747.4958194,1043539064.46995,431494534.9517483,0.3515,3.515,10.0,5.77825378683429
2025-09-30,000713.SZ,季报,3970596129.2352734,341000000.0,7400145064.263003,3990145064.2630033,3410000000.0,2788863126.728357,1440513957.9770246,1050890733.3695081,385317223.5775038,0.341,3.41,10.0,4.608017775851005
2025-12-31,000713.SZ,季报,3969654106.6868763,331000000.0,5594327667.427714,2284327667.4277143,3310000000.0,1923464913.4930058,821609944.0433773,1111930676.0660691,372554379.8943172,0.331,3.31,10.0,5.916707416464124
